id,category,category_zh,title,subtitle,last_update,nodes,edges,companies
battery_materials,energy,能源與電氣化,電池材料供應鏈 (Battery Materials: Cathode/Anode/Separator/Electrolyte),Battery Materials — 鋰電「電芯之前」的上游材料，由中國全面主導：正極 89.4%、負極 93.5%、電解液 87.4%、隔膜 85%（全球產能），銅箔 >74%、鈷精煉 >72%。2026 上半年最熱的舊賽道：鋰價 Q1,,7,10,43
ess,energy,能源與電氣化,儲能系統 ESS 供應鏈 (Grid-Scale Battery Storage),"Energy Storage System — AI 資料中心爆量用電 + 再生能源併網，把電網級儲能（BESS）推上結構性成長。電網級儲能 2026 市場 $1,081 億、CAGR 23.9% 到 2031 達 $3,158 億；亞太佔",,7,9,27
ev,energy,能源與電氣化,電動車 EV 供應鏈 (Battery · OEM · Power Semi · Charging),"Electric Vehicle — 全球運輸電氣化主軸，與儲能共用電池供應鏈、與 AI 共用功率半導體。2026 Q1 Tesla 358,023 重奪全球 BEV 龍頭、BYD 310,389 暫居第二（中國購置稅改課 5% 致 BYD",,7,9,30
ev_charging,energy,能源與電氣化,電動車充電基礎設施供應鏈 (EV Charging Infrastructure),EV Charging — 充電從「燒錢圈地」轉向「網路營收 + 高毛利 SaaS + 賣鏟人晶片」的結構性成長。2026 H1 三催化齊發：① NACS(SAE J3400) 標準戰塵埃落定，幾乎全美車廠(Ford/GM/Rivian/H,,6,5,39
fusion,energy,能源與電氣化,核融合供應鏈 (Nuclear Fusion),Nuclear Fusion — AI 資料中心對 24/7 無碳基載電力的渴求把核融合從科研推向可投資敘事。2026-H1 募資再爆量：CFS（Commonwealth）2026-05 再募 $3.85B、累計約 $6.85B 居全球之冠,,5,4,35
grid_power,energy,能源與電氣化,電網與輸配電設備供應鏈 (Power Grid & T&D Equipment),Power Grid & T&D — AI 資料中心用電爆量把瓶頸從「發電」延伸到「輸配電」：大型電力變壓器交期在美國最長拉到 4 年、GIS 開關設備與 HVDC 換流站嚴重供不應求，催生橫跨美歐日韓台的 T&D 設備漲價超級循環。全球電,,7,10,38
hydrogen,energy,能源與電氣化,氫能與燃料電池供應鏈 (Hydrogen & Fuel Cells),Hydrogen & Fuel Cells — AI 資料中心對「快速到位電力」的渴求把燃料電池(Bloom SOFC)從邊緣敘事推成 2026 最強落地題材。Bloom Energy(BE) Q1'26 營收暴增至 $751M(+130%,,5,7,36
nuclear_fuel_cycle,energy,能源與電氣化,核燃料循環與鈾濃縮供應鏈 (Nuclear Fuel Cycle & Uranium Enrichment),AI 資料中心向核電 PPA 與 SMR 大舉押注，把『燃料側』推上結構性多頭——這是與 nuclear_smr（反應爐設計）互補的另一半故事。價值鏈：鈾礦開採 → 轉化(UF6)＋濃縮(離心)＋HALEU 高濃度低濃鈾 → 燃料組件製造 ,,5,5,22
nuclear_smr,energy,能源與電氣化,核能 / 小型模組反應爐 SMR 供應鏈 (Nuclear & SMR),Nuclear & SMR — AI 資料中心爆量用電把瓶頸從晶片移到電力，核能（尤其小型模組反應爐 SMR）成 24/7 無碳基載解方。鈾價近 $86/lb；NuScale（SMR）為唯一獲 NRC 認證設計、TVA 6GW 案；hype,,5,6,23
onsite_power,energy,能源與電氣化,AI 資料中心自有發電 / 表後電力供應鏈 (Behind-the-Meter Prime Power for AI Data Centers),AI 資料中心等不到電網——併網排隊長達 4-7 年，業者乾脆「自帶電廠」（表後 / behind-the-meter prime power），用燃氣渦輪＋往復引擎＋燃料電池就地發電。需求把熱段供應鏈逼到極限：GE Vernova（GEV,,5,5,27
